"Date";"Value"
"09/01/2013";98,72797
"10/01/2013";100,134
"11/01/2013";100,134
"12/01/2013";99,79118
"01/01/2014";102,665
"02/01/2014";102,665
"03/01/2014";102,34617
"04/01/2014";100,973
"05/01/2014";100,973
"06/01/2014";100,6513
"07/01/2014";100,456
"08/01/2014";100,456
"09/01/2014";100,11145
"10/01/2014";101,618
"11/01/2014";101,618
"12/01/2014";101,2805
"01/01/2015";100,893
"02/01/2015";100,893
"03/01/2015";100,49009
"04/01/2015";99,771
"05/01/2015";99,771
"06/01/2015";99,30094
"07/01/2015";99,146
"08/01/2015";99,146
"09/01/2015";98,63595
"10/01/2015";103,219
"11/01/2015";103,219
"12/01/2015";102,64192
"01/01/2016";103,989
"02/01/2016";103,989
"03/01/2016";103,98904
"04/01/2016";103,58
"05/01/2016";103,58
"06/01/2016";103,58005
"07/01/2016";103,604
"08/01/2016";103,604
"09/01/2016";103,60355
"10/01/2016";104,649
"11/01/2016";104,649
"12/01/2016";104,64891
"01/01/2017";102,937
"02/01/2017";102,937
"03/01/2017";102,93741
"04/01/2017";102,088
"05/01/2017";102,088
"06/01/2017";102,08817
"07/01/2017";102,805
"08/01/2017";102,805
"09/01/2017";102,80463
"10/01/2017";102,274
"11/01/2017";102,274
"12/01/2017";102,27408
"01/01/2018";103,744
"02/01/2018";103,744
"03/01/2018";103,74395
"04/01/2018";102,984
"05/01/2018";102,984
"06/01/2018";102,98411
"07/01/2018";103,449
"08/01/2018";103,449
"09/01/2018";103,4489
"10/01/2018";105,049
"11/01/2018";105,049
"12/01/2018";105,04941
"01/01/2019";104,34
"02/01/2019";104,34
"03/01/2019";104,34017
"04/01/2019";102,922
"05/01/2019";102,922
"06/01/2019";102,92245
"07/01/2019";104,615
"08/01/2019";104,615
"09/01/2019";104,61492
"10/01/2019";105,782
"11/01/2019";105,782
"12/01/2019";105,78193
"01/01/2020";106,886
"02/01/2020";106,886
"03/01/2020";106,77007
"04/01/2020";132,815
"05/01/2020";132,815
"06/01/2020";132,66287
"07/01/2020";124,261
"08/01/2020";124,261
"09/01/2020";124,14692
"10/01/2020";125,733
"11/01/2020";125,733
"12/01/2020";125,62864
"01/01/2021";124,168
"02/01/2021";124,168
"03/01/2021";124,03752
"04/01/2021";122,083
"05/01/2021";122,083
